V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
seq_21241 SWKY01000311.1 82.022 2898 401 59 201 3026 445627 448476 0 2379
seq_21241 SWKY01000311.1 82.967 2683 384 44 398 3041 446251 448899 0 2375
seq_21241 SWKY01000311.1 82.596 2758 391 49 201 2926 446432 449132 0 2375
seq_21241 SWKY01000311.1 82.368 2796 404 50 201 2952 446384 449134 0 2374
seq_21241 SWKY01000311.1 82.655 2727 402 44 268 2959 446680 449370 0 2370
seq_21241 SWKY01000311.1 82.593 2746 395 56 201 2905 446684 449387 0 2370
seq_21241 SWKY01000311.1 82.778 2729 373 50 201 2881 446708 449387 0 2370
seq_21241 SWKY01000311.1 81.67 2935 433 54 149 3025 445876 448763 0 2366
seq_21241 SWKY01000311.1 82.521 2769 386 55 201 2921 446336 449054 0 2366
seq_21241 SWKY01000311.1 81.916 2892 412 58 201 3025 445988 448835 0 2364
seq_21241 SWKY01000311.1 82.338 2814 386 60 201 2959 446036 448793 0 2364
seq_21241 SWKY01000311.1 82.425 2771 400 55 205 2926 446196 448928 0 2362
seq_21241 SWKY01000311.1 83.308 2600 364 40 398 2959 446743 449310 0 2353
seq_21241 SWKY01000311.1 84.711 2420 274 45 569 2959 445386 447738 0 2351
seq_21241 SWKY01000311.1 82.041 2851 395 63 140 2926 445843 448640 0 2344
seq_21241 SWKY01000311.1 84.157 2449 286 47 555 2959 445396 447786 0 2300
seq_21241 SWKY01000311.1 83.815 2490 301 47 514 2959 445427 447858 0 2292
seq_21241 SWKY01000311.1 82.578 2669 366 55 201 2829 446756 449365 0 2285
seq_21241 SWKY01000311.1 82.552 2665 366 57 201 2825 446780 449385 0 2278
seq_21241 SWKY01000311.1 86.452 2111 228 34 884 2959 445423 447510 0 2270
seq_21241 SWKY01000311.1 86.555 2090 229 34 863 2926 445438 447501 0 2261
seq_21241 SWKY01000311.1 84.797 2289 276 36 713 2959 445396 447654 0 2254
seq_21241 SWKY01000311.1 85.565 2196 256 39 788 2952 445386 447551 0 2250
seq_21241 SWKY01000311.1 80.996 2931 446 68 201 3073 446876 449753 0 2248
seq_21241 SWKY01000311.1 83.481 2482 304 53 609 3026 445318 447757 0 2235
seq_21241 SWKY01000311.1 86.693 2044 218 38 937 2959 445452 447462 0 2228
seq_21241 SWKY01000311.1 82.378 2616 380 50 201 2767 446804 449387 0 2226
seq_21241 SWKY01000311.1 81.316 2842 418 65 201 2959 446948 449759 0 2226
seq_21241 SWKY01000311.1 82.649 2582 357 54 201 2740 446852 449384 0 2224
seq_21241 SWKY01000311.1 80.761 2942 453 61 201 3071 446996 449895 0 2217
seq_21241 SWKY01000311.1 85.492 2185 237 37 929 3073 445360 447504 0 2215
seq_21241 SWKY01000311.1 86.432 2071 211 35 900 2926 445529 447573 0 2213
seq_21241 SWKY01000311.1 85.602 2167 232 35 929 3073 445348 447456 0 2209
seq_21241 SWKY01000311.1 81.752 2740 383 74 267 2946 447340 450022 0 2202
seq_21241 SWKY01000311.1 81.279 2799 425 61 201 2959 446924 449663 0 2198
seq_21241 SWKY01000311.1 81.444 2797 393 69 201 2955 447116 449828 0 2194
seq_21241 SWKY01000311.1 82.137 2620 362 65 398 2959 447380 449951 0 2169
seq_21241 SWKY01000311.1 81.006 2822 423 67 201 2963 447224 449991 0 2161
seq_21241 SWKY01000311.1 81.257 2769 402 68 201 2904 447345 450061 0 2154
seq_21241 SWKY01000311.1 86.386 2020 194 36 974 2959 445346 447318 0 2141
seq_21241 SWKY01000311.1 82.421 2520 341 55 387 2867 447596 450052 0 2124
seq_21241 SWKY01000311.1 86.177 1975 187 40 1045 2959 445346 447294 0 2065
seq_21241 SWKY01000311.1 86.975 1858 161 33 1109 2926 445360 447176 0 2025
seq_21241 SWKY01000311.1 85.926 1961 188 39 1042 2959 445318 447233 0 2021
seq_21241 SWKY01000311.1 86.811 1850 159 37 1119 2926 445346 447152 0 1995
seq_21241 SWKY01000311.1 80.797 2661 392 68 201 2791 447441 450052 0 1995
seq_21241 SWKY01000311.1 82.194 2370 351 60 398 2719 447680 450026 0 1993
seq_21241 SWKY01000311.1 86.561 1823 160 37 1191 2959 445346 447137 0 1940
seq_21241 SWKY01000311.1 80.89 2517 392 58 209 2671 447580 450061 0 1925
seq_21241 SWKY01000311.1 85.414 1858 210 33 1187 3026 445318 447132 0 1879
seq_21241 SWKY01000311.1 80.687 2475 395 53 205 2622 447601 450049 0 1868
seq_21241 SWKY01000311.1 82.915 2113 283 43 387 2466 447320 449387 0 1849
seq_21241 SWKY01000311.1 84.787 1880 201 44 1212 3073 445319 447131 0 1814
seq_21241 SWKY01000311.1 82.515 2036 289 36 398 2418 447404 449387 0 1742
seq_21241 SWKY01000311.1 84.373 1811 218 39 1283 3073 445318 447083 0 1725
seq_21241 SWKY01000311.1 79.845 2446 396 66 201 2588 447645 450051 0 1720
seq_21241 SWKY01000311.1 79.884 2411 375 65 201 2552 447693 450052 0 1688
seq_21241 SWKY01000311.1 79.991 2339 367 58 201 2490 447765 450051 0 1657
seq_21241 SWKY01000311.1 83.973 1747 221 32 1356 3073 445319 447035 0 1629
seq_21241 SWKY01000311.1 79.913 2295 373 57 201 2453 447813 450061 0 1628
seq_21241 SWKY01000311.1 84.158 1698 201 34 1398 3073 445336 446987 0 1592
seq_21241 SWKY01000311.1 84.818 1594 192 25 1506 3073 445346 446915 0 1567
seq_21241 SWKY01000311.1 84.195 1664 195 33 1432 3073 445346 446963 0 1563
seq_21241 SWKY01000311.1 78.844 2335 368 78 149 2417 447821 450095 0 1478
seq_21241 SWKY01000311.1 78.976 2226 352 73 140 2333 447920 450061 0 1430
seq_21241 SWKY01000311.1 81.655 1788 241 47 398 2154 447656 449387 0 1421
seq_21241 SWKY01000311.1 83.483 1562 202 30 1535 3073 445315 446843 0 1413
seq_21241 SWKY01000311.1 80.856 1823 301 33 267 2069 447592 449386 0 1402
seq_21241 SWKY01000311.1 84.846 1432 152 31 1561 2959 445318 446717 0 1391
seq_21241 SWKY01000311.1 84.926 1360 146 31 1585 2926 445318 446636 0 1330
seq_21241 SWKY01000311.1 78.871 2073 315 65 201 2201 448005 450026 0 1312
seq_21241 SWKY01000311.1 85.459 1286 133 26 1656 2926 445366 446612 0 1299
seq_21241 SWKY01000311.1 84.874 1309 142 30 1660 2952 445346 446614 0 1279
seq_21241 SWKY01000311.1 78.789 1966 332 52 217 2141 448140 450061 0 1264
seq_21241 SWKY01000311.1 79.447 1844 312 36 388 2201 448245 450051 0 1264
seq_21241 SWKY01000311.1 78.319 2034 348 57 201 2189 448076 450061 0 1251
seq_21241 SWKY01000311.1 84.933 1261 148 26 1708 2959 445346 446573 0 1247
seq_21241 SWKY01000311.1 85.106 1222 146 25 1756 2959 445346 446549 0 1225
seq_21241 SWKY01000311.1 84.666 1226 152 26 1752 2959 445318 446525 0 1199
seq_21241 SWKY01000311.1 78.091 1917 341 48 217 2096 448212 450086 0 1158
seq_21241 SWKY01000311.1 83.465 1270 172 28 1776 3026 445318 446568 0 1157
seq_21241 SWKY01000311.1 78.173 1883 334 46 201 2045 448172 450015 0 1144
seq_21241 SWKY01000311.1 77.698 1946 351 47 140 2045 448159 450061 0 1127
seq_21241 SWKY01000311.1 82.717 1244 181 24 1800 3026 445318 446544 0 1085
seq_21241 SWKY01000311.1 84.526 1118 129 29 1852 2959 445346 446429 0 1075
seq_21241 SWKY01000311.1 77.712 1862 329 50 201 2020 448244 450061 0 1075
seq_21241 SWKY01000311.1 77.549 1844 316 53 201 1996 448268 450061 0 1037
seq_21241 SWKY01000311.1 82.601 1207 168 27 1876 3073 445346 446519 0 1035
seq_21241 SWKY01000311.1 77.38 1817 343 45 212 1984 448303 450095 0 1031
seq_21241 SWKY01000311.1 82.209 1186 171 23 1896 3073 445318 446471 0 992
seq_21241 SWKY01000311.1 77.449 1756 318 54 201 1912 448340 450061 0 992
seq_21241 SWKY01000311.1 77.163 1734 324 55 201 1888 448388 450095 0 957
seq_21241 SWKY01000311.1 81.407 1151 172 26 1944 3073 445318 446447 0 911
seq_21241 SWKY01000311.1 77.123 1613 302 47 201 1768 448436 450026 0 887
seq_21241 SWKY01000311.1 81.239 1114 169 24 1968 3073 445318 446399 0 872
seq_21241 SWKY01000311.1 76.614 1595 319 43 201 1768 448484 450051 0 845
seq_21241 SWKY01000311.1 76.708 1610 291 54 201 1744 448460 450051 0 833
seq_21241 SWKY01000311.1 77.851 1368 241 35 398 1720 448711 450061 0 802
seq_21241 SWKY01000311.1 83.127 889 102 27 2085 2954 445386 446245 0 771
seq_21241 SWKY01000311.1 75.828 1601 309 51 140 1696 448495 450061 0 754
seq_21241 SWKY01000311.1 83.121 865 107 21 2109 2959 445386 446225 0 752
seq_21241 SWKY01000311.1 83.014 836 107 16 2103 2926 445356 446168 0 725
seq_21241 SWKY01000311.1 82.524 824 105 21 2117 2926 445346 446144 0 688
seq_21241 SWKY01000311.1 81.871 855 114 24 2113 2952 445318 446146 0 682
seq_21241 SWKY01000311.1 87.213 610 56 14 2101 2695 449459 450061 0 675
seq_21241 SWKY01000311.1 86.921 604 70 9 2216 2815 449454 450052 0 669
seq_21241 SWKY01000311.1 88.489 556 49 4 1656 2210 449471 450012 0 667
seq_21241 SWKY01000311.1 85.875 623 69 9 2120 2740 449454 450059 0 645
seq_21241 SWKY01000311.1 75.398 1443 280 46 201 1601 448652 450061 0 643
seq_21241 SWKY01000311.1 81.358 810 118 26 2161 2959 445318 446105 2.23e-177 628
seq_21241 SWKY01000311.1 80.127 790 116 22 2185 2959 445318 446081 4.97e-154 551
seq_21241 SWKY01000311.1 80.842 736 100 22 2239 2959 445348 446057 1.08e-150 540
seq_21241 SWKY01000311.1 82.602 615 86 12 930 1530 449454 450061 1.08e-145 523
seq_21241 SWKY01000311.1 80 760 103 25 2286 3026 445347 446076 1.81e-143 516
seq_21241 SWKY01000311.1 78.499 786 124 26 2305 3073 445318 446075 1.11e-130 473
seq_21241 SWKY01000311.1 78.671 647 95 24 2329 2959 445318 445937 1.15e-105 390
seq_21241 SWKY01000311.1 79.153 614 91 19 2353 2959 445318 445901 1.15e-105 390
seq_21241 SWKY01000311.1 79.652 575 88 15 2505 3073 449454 450005 1.48e-104 387
seq_21241 SWKY01000311.1 78.467 548 81 20 2425 2959 445318 445841 1.18e-85 324
seq_21241 SWKY01000311.1 76.305 498 84 18 2473 2959 445318 445792 5.69e-59 235
seq_21241 SWKY01000311.1 77.834 397 69 11 2574 2959 445332 445720 9.52e-57 228
seq_21241 SWKY01000311.1 76.267 434 71 16 2537 2959 445356 445768 5.77e-49 202
seq_21241 SWKY01000311.1 77.083 336 59 12 2634 2959 445345 445672 9.72e-42 178
seq_21241 SWKY01000311.1 85 120 15 2 2841 2959 449498 449615 5.98e-24 119
seq_21241 SWKY01000311.1 75.319 235 53 4 2841 3073 449474 449705 1.29e-20 108
seq_21241 SWKY01000004.1 84.876 2387 275 56 398 2750 14958110 14960444 0 2348
seq_21241 SWKY01000004.1 87.076 2035 208 35 768 2790 14958395 14960386 0 2259
seq_21241 SWKY01000004.1 80.734 2808 448 67 205 2978 18725887 18728635 0 2126
seq_21241 SWKY01000004.1 80.614 2832 444 71 255 3041 18725855 18728626 0 2113
seq_21241 SWKY01000004.1 79.78 2908 497 74 205 3073 18725695 18728550 0 2052
seq_21241 SWKY01000004.1 80.028 2859 474 70 140 2962 18725894 18728691 0 2050
seq_21241 SWKY01000004.1 79.85 2943 456 94 205 3073 18725599 18728478 0 2047
seq_21241 SWKY01000004.1 79.808 2917 480 80 205 3073 18725671 18728526 0 2047
seq_21241 SWKY01000004.1 80.645 2759 408 105 387 3073 27055429 27058133 0 2041
seq_21241 SWKY01000004.1 79.626 2940 468 104 205 3073 18725431 18728310 0 2013
seq_21241 SWKY01000004.1 79.707 2868 467 97 210 3026 18725364 18728167 0 1988
seq_21241 SWKY01000004.1 79.452 2920 485 96 205 3073 18725383 18728238 0 1986
seq_21241 SWKY01000004.1 79.415 2939 476 100 205 3073 18725407 18728286 0 1980
seq_21241 SWKY01000004.1 79.603 2868 470 98 210 3026 18725340 18728143 0 1971
seq_21241 SWKY01000004.1 80.219 2735 427 98 387 3073 18725354 18728022 0 1967
seq_21241 SWKY01000004.1 79.773 2823 456 99 254 3026 18725362 18728119 0 1964
seq_21241 SWKY01000004.1 80.183 2735 428 98 387 3073 18725378 18728046 0 1962
seq_21241 SWKY01000004.1 80.183 2735 428 98 387 3073 18725402 18728070 0 1962
seq_21241 SWKY01000004.1 87.72 1702 172 24 1118 2809 14958781 14960455 0 1960
seq_21241 SWKY01000004.1 79.242 2929 483 108 201 3073 18725139 18727998 0 1947
seq_21241 SWKY01000004.1 79.475 2855 468 102 271 3073 18725138 18727926 0 1936
seq_21241 SWKY01000004.1 81.217 2465 343 73 549 2979 14958097 14960475 0 1897
seq_21241 SWKY01000004.1 82.226 2273 299 67 385 2620 14958240 14960444 0 1881
seq_21241 SWKY01000004.1 82.887 2168 288 45 788 2926 14958272 14960385 0 1881
seq_21241 SWKY01000004.1 85.136 1877 223 34 817 2679 14958622 14960456 0 1879
seq_21241 SWKY01000004.1 85.81 1797 203 27 1134 2921 14958699 14960452 0 1868
seq_21241 SWKY01000004.1 83.228 2051 274 39 903 2918 14958292 14960307 0 1827
seq_21241 SWKY01000004.1 81.45 2318 321 58 701 2959 14958115 14960382 0 1818
seq_21241 SWKY01000004.1 82.615 2134 274 49 863 2959 14958228 14960301 0 1805
seq_21241 SWKY01000004.1 81.745 2235 308 62 387 2587 14958314 14960482 0 1796
seq_21241 SWKY01000004.1 84.013 1914 247 29 1063 2952 14958509 14960387 0 1794
seq_21241 SWKY01000004.1 81.999 2211 289 60 766 2921 14958082 14960238 0 1786
seq_21241 SWKY01000004.1 79.416 2672 412 105 455 3073 18724908 18727494 0 1781
seq_21241 SWKY01000004.1 79.625 2611 409 97 514 3073 18725004 18727542 0 1781
seq_21241 SWKY01000004.1 82.987 1975 267 42 568 2510 14958519 14960456 0 1742
seq_21241 SWKY01000004.1 79.129 2664 399 124 436 3026 18724676 18727255 0 1714
seq_21241 SWKY01000004.1 85.038 1711 202 30 740 2437 14958787 14960456 0 1703
seq_21241 SWKY01000004.1 81.686 2135 299 52 872 2959 14958117 14960206 0 1701
seq_21241 SWKY01000004.1 81.801 2099 297 47 886 2959 14958096 14960134 0 1688
seq_21241 SWKY01000004.1 82.386 1987 274 52 499 2461 14958522 14960456 0 1681
seq_21241 SWKY01000004.1 84.412 1700 213 29 714 2389 14958785 14960456 0 1644
seq_21241 SWKY01000004.1 84.507 1704 206 29 804 2486 14958790 14960456 0 1640
seq_21241 SWKY01000004.1 77.626 2789 539 66 210 2962 6663659 6660920 0 1637
seq_21241 SWKY01000004.1 77.55 2824 526 75 210 2962 6667960 6665174 0 1626
seq_21241 SWKY01000004.1 77.953 2658 496 76 149 2753 6663168 6660548 0 1602
seq_21241 SWKY01000004.1 81.624 2008 290 50 995 2962 14958121 14960089 0 1600
seq_21241 SWKY01000004.1 82.378 1867 269 34 515 2365 14958634 14960456 0 1591
seq_21241 SWKY01000004.1 80.744 2098 333 55 385 2452 14958536 14960592 0 1589
seq_21241 SWKY01000004.1 76.923 2925 566 83 104 2962 6664233 6661352 0 1587
seq_21241 SWKY01000004.1 77.089 2920 534 95 140 2962 6663981 6661100 0 1585
seq_21241 SWKY01000004.1 77.845 2645 505 59 94 2696 6663031 6660426 0 1581
seq_21241 SWKY01000004.1 78.036 2586 495 49 398 2962 6663189 6660656 0 1581
seq_21241 SWKY01000004.1 77.146 2796 560 63 212 2962 6663537 6660776 0 1574
seq_21241 SWKY01000004.1 78.007 2619 472 69 387 2962 6663141 6660584 0 1568
seq_21241 SWKY01000004.1 77.163 2785 554 66 212 2962 6668342 6665606 0 1568
seq_21241 SWKY01000004.1 81.42 1986 299 42 1008 2957 14958110 14960061 0 1568
seq_21241 SWKY01000004.1 77.388 2711 536 64 66 2730 6663119 6660440 0 1565
seq_21241 SWKY01000004.1 77.095 2816 549 67 212 2962 6667814 6665030 0 1563
seq_21241 SWKY01000004.1 76.537 3009 588 86 94 3026 6668028 6665062 0 1563
seq_21241 SWKY01000004.1 82.268 1878 258 46 1121 2959 14958174 14960015 0 1563
seq_21241 SWKY01000004.1 76.875 2880 562 77 210 3026 6668332 6665494 0 1557
seq_21241 SWKY01000004.1 81.51 1974 283 52 1028 2959 14958106 14960039 0 1557
seq_21241 SWKY01000004.1 78.65 2445 428 64 387 2767 6667442 6665028 0 1555
seq_21241 SWKY01000004.1 83.373 1696 241 26 582 2266 14958787 14960452 0 1552
seq_21241 SWKY01000004.1 76.807 2850 578 67 212 3026 6664041 6661240 0 1548
seq_21241 SWKY01000004.1 83.314 1696 241 28 514 2197 14958791 14960456 0 1544
seq_21241 SWKY01000004.1 77 2787 555 70 212 2962 6668090 6665354 0 1541
seq_21241 SWKY01000004.1 78.51 2429 428 66 387 2751 6667418 6665020 0 1528
seq_21241 SWKY01000004.1 76.92 2825 537 83 177 2962 6664280 6661532 0 1522
seq_21241 SWKY01000004.1 80.653 2052 311 59 1065 3073 14958096 14960104 0 1520
seq_21241 SWKY01000004.1 83.116 1688 243 29 534 2209 14958787 14960444 0 1519
seq_21241 SWKY01000004.1 81.711 1870 273 47 398 2233 14958610 14960444 0 1511
seq_21241 SWKY01000004.1 82.02 1802 275 32 387 2170 14958682 14960452 0 1507
seq_21241 SWKY01000004.1 76.769 2798 554 69 212 2962 6668534 6665786 0 1502
seq_21241 SWKY01000004.1 77.972 2456 478 49 398 2829 6667442 6665026 0 1496
seq_21241 SWKY01000004.1 81.331 1923 280 52 1077 2959 14958084 14959967 0 1496
seq_21241 SWKY01000004.1 80.97 1918 300 46 260 2149 14958576 14960456 0 1480
seq_21241 SWKY01000004.1 82.57 1704 253 30 435 2125 14958784 14960456 0 1480
seq_21241 SWKY01000004.1 77.483 2487 508 48 93 2552 6667477 6665016 0 1469
seq_21241 SWKY01000004.1 79.833 2152 311 71 863 2959 14957860 14959943 0 1465
seq_21241 SWKY01000004.1 80.435 1978 320 38 1131 3073 14958088 14960033 0 1456
seq_21241 SWKY01000004.1 82.258 1674 249 32 398 2054 14958816 14960458 0 1415
seq_21241 SWKY01000004.1 81.98 1687 265 23 398 2072 14958792 14960451 0 1411
seq_21241 SWKY01000004.1 82.328 1641 248 27 398 2025 14958841 14960452 0 1397
seq_21241 SWKY01000004.1 81.807 1693 263 31 417 2094 14958787 14960449 0 1395
seq_21241 SWKY01000004.1 79.058 2144 350 77 865 2959 27054846 27056939 0 1389
seq_21241 SWKY01000004.1 79.867 1952 324 43 1146 3073 14958079 14959985 0 1373
seq_21241 SWKY01000004.1 77.288 2338 483 43 94 2405 6667332 6665017 0 1358
seq_21241 SWKY01000004.1 77.983 2221 422 52 278 2457 6662618 6660424 0 1349
seq_21241 SWKY01000004.1 76.952 2434 485 63 93 2479 18726879 18729283 0 1341
seq_21241 SWKY01000004.1 81.779 1619 255 24 398 2004 14958866 14960456 0 1330
seq_21241 SWKY01000004.1 78.289 2174 380 59 934 3073 14957846 14959961 0 1325
seq_21241 SWKY01000004.1 81.602 1598 248 31 398 1980 14958890 14960456 0 1291
seq_21241 SWKY01000004.1 80.479 1711 285 33 260 1956 14958781 14960456 0 1277
seq_21241 SWKY01000004.1 75.919 2666 519 81 210 2817 20114443 20111843 0 1277
seq_21241 SWKY01000004.1 78.684 2036 335 64 973 2959 14957838 14959823 0 1273
seq_21241 SWKY01000004.1 76.026 2607 518 81 398 2952 20115251 20112700 0 1273
seq_21241 SWKY01000004.1 78.665 1992 356 57 1002 2959 14957819 14959775 0 1269
seq_21241 SWKY01000004.1 78.311 1978 393 32 398 2358 6666974 6665016 0 1264
seq_21241 SWKY01000004.1 80.208 1728 270 48 201 1908 14958781 14960456 0 1245
seq_21241 SWKY01000004.1 75.758 2640 526 84 387 2958 20115239 20112646 0 1245
seq_21241 SWKY01000004.1 76.284 2454 486 71 387 2809 20113704 20111316 0 1240
seq_21241 SWKY01000004.1 77.432 2118 416 47 255 2334 6667109 6665016 0 1229
seq_21241 SWKY01000004.1 80.262 1682 279 34 267 1932 14958812 14960456 0 1229
seq_21241 SWKY01000004.1 75.242 2787 552 90 212 2958 20115560 20112872 0 1218
seq_21241 SWKY01000004.1 76.282 2458 457 78 455 2825 20114668 20112250 0 1214
seq_21241 SWKY01000004.1 75.575 2608 521 89 398 2962 20114465 20111931 0 1199
seq_21241 SWKY01000004.1 75.19 2757 549 90 267 2962 20114672 20111990 0 1195
seq_21241 SWKY01000004.1 77.878 1998 367 61 1065 3026 14957836 14959794 0 1181
seq_21241 SWKY01000004.1 75.47 2552 518 75 398 2921 20115678 20113207 0 1166
seq_21241 SWKY01000004.1 75.562 2492 518 73 514 2962 20115847 20113404 0 1164
seq_21241 SWKY01000004.1 75.525 2476 514 70 530 2962 20115855 20113429 0 1149
seq_21241 SWKY01000004.1 75.586 2433 503 70 516 2918 20115797 20113426 0 1138
seq_21241 SWKY01000004.1 77.092 2139 374 80 978 3073 14957728 14959793 0 1136
seq_21241 SWKY01000004.1 77.587 1981 355 62 1149 3073 14957822 14959769 0 1125
seq_21241 SWKY01000004.1 79.147 1664 298 32 204 1845 14958805 14960441 0 1120
seq_21241 SWKY01000004.1 76.403 2191 417 58 839 2962 20115848 20113691 0 1099
seq_21241 SWKY01000004.1 75.954 2279 441 72 726 2958 20115805 20113588 0 1092
seq_21241 SWKY01000004.1 78.001 1741 354 26 392 2118 6666741 6665016 0 1085
seq_21241 SWKY01000004.1 78.848 1650 293 46 212 1827 14958866 14960493 0 1077
seq_21241 SWKY01000004.1 76.095 2238 423 71 752 2917 20115851 20113654 0 1075
seq_21241 SWKY01000004.1 77.263 1900 331 68 1113 2959 14957732 14959583 0 1031
seq_21241 SWKY01000004.1 76.777 1942 357 54 1009 2904 20115797 20113904 0 1011
seq_21241 SWKY01000004.1 77.187 1749 306 60 1245 2959 14957822 14959511 0 942
seq_21241 SWKY01000004.1 76.949 1783 312 61 1269 3026 14957822 14959530 0 933
seq_21241 SWKY01000004.1 77.419 1643 298 51 1341 2959 14957822 14959415 0 920
seq_21241 SWKY01000004.1 76.923 1651 320 43 1169 2809 20115854 20114255 0 891
seq_21241 SWKY01000004.1 76.42 1743 319 51 1193 2919 20115854 20114188 0 865
seq_21241 SWKY01000004.1 81.855 981 156 12 1201 2177 22088067 22089029 0 815
seq_21241 SWKY01000004.1 76.82 1497 297 40 1434 2921 20115854 20114399 0 806
seq_21241 SWKY01000004.1 75.958 1697 310 65 1321 2959 14957735 14959391 0 793
seq_21241 SWKY01000004.1 76.104 1494 300 44 1482 2962 20115854 20114405 0 737
seq_21241 SWKY01000004.1 74.344 1867 383 71 1128 2957 2097107 2095300 0 715
seq_21241 SWKY01000004.1 73.943 1892 416 63 1110 2962 2097042 2095189 0 701
seq_21241 SWKY01000004.1 75.408 1655 285 80 1345 2959 14957735 14959307 0 695
seq_21241 SWKY01000004.1 78.88 1018 186 17 902 1912 22088034 22089029 0 662
seq_21241 SWKY01000004.1 76.284 1324 255 39 1662 2946 20115807 20114504 0 660
seq_21241 SWKY01000004.1 75.521 1487 276 52 1512 2959 14957822 14959259 0 656
seq_21241 SWKY01000004.1 73.485 1931 416 75 1080 2957 2097553 2095666 0 649
seq_21241 SWKY01000004.1 75.776 1288 272 31 93 1353 5787790 5786516 6.21e-178 630
seq_21241 SWKY01000004.1 78.107 1014 188 27 1830 2825 20115854 20114857 3.74e-175 621
seq_21241 SWKY01000004.1 74.217 1660 329 68 1201 2816 2097153 2095549 2.25e-172 612
seq_21241 SWKY01000004.1 73.729 1652 367 59 1129 2744 8504262 8505882 8.15e-167 593
seq_21241 SWKY01000004.1 74.035 1606 338 62 1504 3071 14957735 14959299 2.93e-166 592
seq_21241 SWKY01000004.1 73.403 1831 373 83 1031 2816 2097671 2095910 1.36e-164 586
seq_21241 SWKY01000004.1 73.697 1707 349 83 1120 2767 8504216 8505881 1.76e-163 582
seq_21241 SWKY01000004.1 73.412 1700 374 75 1129 2792 8504202 8505859 1.06e-160 573
seq_21241 SWKY01000004.1 76.714 1065 215 28 1902 2957 20115854 20114814 3.82e-160 571
seq_21241 SWKY01000004.1 74.45 1409 282 52 1552 2926 14957838 14959202 2.31e-152 545
seq_21241 SWKY01000004.1 73.132 1753 371 72 1110 2834 2097548 2095868 8.32e-152 544
seq_21241 SWKY01000004.1 72.953 1771 371 74 1215 2962 2097610 2095925 8.38e-147 527
seq_21241 SWKY01000004.1 74.788 1297 248 62 1690 2958 14957822 14959067 5.04e-144 518
seq_21241 SWKY01000004.1 73.04 1658 364 70 1128 2753 8504022 8505628 1.81e-143 516
seq_21241 SWKY01000004.1 72.797 1702 386 72 1115 2781 8504045 8505704 1.81e-143 516
seq_21241 SWKY01000004.1 72.744 1651 383 56 902 2516 8504263 8505882 1.41e-139 503
seq_21241 SWKY01000004.1 75.791 1012 211 28 307 1299 22088033 22089029 3.06e-136 492
seq_21241 SWKY01000004.1 74.047 1233 251 55 1762 2959 14957822 14959020 1.87e-123 449
seq_21241 SWKY01000004.1 73.399 1218 278 46 1608 2805 8504020 8505211 4.07e-115 422
seq_21241 SWKY01000004.1 71.856 1670 378 77 683 2298 8504250 8505881 1.89e-113 416
seq_21241 SWKY01000004.1 73.784 1110 249 40 1656 2747 8504021 8505106 3.17e-111 409
seq_21241 SWKY01000004.1 71.649 1880 398 108 937 2731 21841140 21839311 5.3e-109 401
seq_21241 SWKY01000004.1 75.679 884 169 27 2104 2958 20115797 20114931 1.91e-108 399
